EventID,MovieName,ExtractionType,EventDescription,Start,End,StartTime(s),EndTime(s),Duration(s),start_point,end_point,Text_length,Aligned,EventType,Aligned_Event_Number,Comments,Normalised Video Clip Index,Normalised Plot Sentence Index
1,Flight(2012),Manually Extracted Event,Airline pilot Captain Whip Whitaker uses cocaine to stay alert after a sleepless night in his Orlando hotel room.,0:03:27,0:03:47,207,227,20,0,113,113,Success,process,2,,0.022233515,0
2,Flight(2012),Manually Extracted Event,"He pilots SouthJet Flight 227 to Atlanta,",0:09:33,0:25:02,573,1502,929,114,155,41,Success,process,62,,0.068733325,0.030383795
3,Flight(2012),Manually Extracted Event,which experiences severe turbulence at takeoff.,0:09:46,0:12:39,586,759,173,156,203,47,Success,change_of_state,8,,0.070384957,0.041577825
4,Flight(2012),Manually Extracted Event,Co-pilot Ken Evans takes over,0:12:59,0:13:02,779,782,3,204,233,29,Fail,process,0,,0.094905349,0.054371002
5,Flight(2012),Manually Extracted Event,while Whip discreetly mixes vodka in his orange juice,0:14:57,0:15:33,897,933,36,234,287,53,Success,process,2,,0.109897091,0.062366738
6,Flight(2012),Manually Extracted Event,and takes a nap.,0:17:07,0:17:21,1027,1041,14,288,304,16,Success,change_of_state,1,,0.126413416,0.076759062
7,Flight(2012),Manually Extracted Event,He is jolted awake as the plane goes into a steep dive.,0:17:38,0:17:43,1058,1063,5,305,360,55,Fail,change_of_state,0,,0.130351925,0.081289979
8,Flight(2012),Manually Extracted Event,"Unable to regain control,",0:17:44,0:21:12,1064,1272,208,361,386,25,Success,non_event,6,,0.131114217,0.096215352
9,Flight(2012),Manually Extracted Event,"Whip is forced to make a controlled crash landing in an open field,",0:23:14,0:25:02,1394,1502,108,387,454,67,Success,process,8,,0.173040274,0.103144989
10,Flight(2012),Manually Extracted Event,hitting his head,0:25:03,0:25:07,1503,1507,4,455,471,16,Success,process,1,,0.186888578,0.121268657
11,Flight(2012),Manually Extracted Event,and losing consciousness on impact.,0:25:08,0:26:16,1508,1576,68,472,507,35,Success,change_of_state,7,,0.187523822,0.125799574
12,Flight(2012),Manually Extracted Event,Whip awakens in an Atlanta hospital with moderate injuries,0:26:18,0:27:24,1578,1644,66,509,567,58,Success,change_of_state,9,,0.196417228,0.135660981
