EventID,MovieName,ExtractionType,EventDescription,Start,End,StartTime(s),EndTime(s),Duration(s),start_point,end_point,Text_length,Aligned,EventType,Aligned_Event_Number,Normalised Video Clip Index,Normalised Plot Sentence Index
1,The Social Network(2010),Manually Extracted Event,"On October 28, 2003, 19-year-old Harvard University sophomore Mark Zuckerberg is dumped by his girlfriend, Erica Albright.",0:03:38,0:05:23,218,323,105,0,122,122,Fail,change_of_state,0,0,0
2,The Social Network(2010),Manually Extracted Event,"Returning to his dorm, Zuckerberg writes an insulting post about Albright on his LiveJournal blog.",0:07:44,0:08:40,464,520,56,123,221,98,Success,process,7,0.037126471,0.033387622
3,The Social Network(2010),Manually Extracted Event,"He creates a campus website called Facemash by hacking into college databases to steal photos of female students,",0:09:22,0:12:12,562,732,170,222,335,113,Success,process,6,0.051916692,0.060260586
4,The Social Network(2010),Manually Extracted Event,then allowing site visitors to rate their attractiveness.,0:12:47,0:14:53,767,893,126,336,393,57,Success,process,7,0.082855418,0.091205212
5,The Social Network(2010),Manually Extracted Event,"After traffic to the site crashes parts of Harvard's computer network,",0:15:15,0:16:10,915,970,55,394,464,70,Success,process,5,0.105191669,0.106948969
6,The Social Network(2010),Manually Extracted Event,Zuckerberg is given six months of academic probation.,0:20:16,0:20:22,1216,1222,6,465,518,53,Success,change_of_state,1,0.150618775,0.126221498
7,The Social Network(2010),Manually Extracted Event,"However, Facemash's popularity attracts the attention of twins Cameron and Tyler Winklevoss and their business partner Divya Narendra.",0:18:01,0:18:44,1081,1124,43,519,653,134,Fail,process,0,0.130244491,0.140879479
8,The Social Network(2010),Manually Extracted Event,"The trio invites Zuckerberg to work on Harvard Connection, a social network exclusive to Harvard students and aimed at dating.",0:23:07,0:24:03,1387,1443,56,654,780,126,Fail,process,0,0.1764262,0.17752443
9,The Social Network(2010),Manually Extracted Event,"Zuckerberg approaches his friend Eduardo Saverin with an idea for the Facebook, a social networking website that would be exclusive to Ivy League students.",0:26:22,0:27:29,1582,1649,67,781,935,155,Success,process,2,0.20585572,0.211997828
10,The Social Network(2010),Manually Extracted Event,"Saverin provides $1,000 in seed funding, allowing Zuckerberg to build the website,",0:28:02,0:28:18,1682,1698,16,937,1019,82,Fail,process,0,0.220947781,0.254343105
